iter	Logloss
0	0.6099713136
1	0.5333412519
2	0.4748621211
3	0.4238936072
4	0.3836706663
5	0.342458825
6	0.3082581203
7	0.283340593
8	0.2647757215
9	0.2493767922
10	0.2315298412
11	0.2183144949
12	0.2093679877
13	0.19766258
14	0.1914572908
15	0.1861996079
16	0.1789631908
17	0.1752635353
18	0.1720437186
19	0.1672461574
20	0.1630358003
21	0.1601654403
22	0.1572193434
23	0.155246491
24	0.1525060345
25	0.1515773386
26	0.149620741
27	0.1480069478
28	0.1467902712
29	0.1452915603
30	0.1446464238
31	0.1435066404
32	0.1427053573
33	0.1418134692
34	0.1412856938
35	0.1405407728
36	0.1399259053
37	0.1392896557
38	0.1388566946
39	0.138428898
40	0.1382006994
41	0.1377711146
42	0.13746902
43	0.1373129073
44	0.1369620667
45	0.1365435354
46	0.1362449012
47	0.1361467433
48	0.1360615717
49	0.1358384689
50	0.1356233271
51	0.1354264824
52	0.1352380691
53	0.1350813691
54	0.134960779
55	0.1348129441
56	0.1347243577
57	0.1346728654
58	0.1346092347
59	0.1345692246
60	0.134472762
61	0.1343576295
62	0.1342883187
63	0.1342508734
64	0.1342115259
65	0.134201713
66	0.1340522961
67	0.1339542354
68	0.133946211
69	0.1338638429
70	0.1337190876
71	0.1337093401
72	0.1336978333
73	0.1336319646
74	0.1336201519
75	0.1336112154
76	0.1334954065
77	0.1333916935
78	0.1333837234
79	0.13337675
80	0.1333038526
81	0.1332486545
82	0.1332434344
83	0.1332389538
84	0.1332044562
85	0.1330818755
86	0.1330756393
87	0.1329488874
88	0.1328962393
89	0.1328567563
90	0.1328464003
91	0.1327677014
92	0.1327584272
93	0.1327370429
94	0.1326956684
95	0.1326894142
96	0.132653963
97	0.132544081
98	0.1324168734
99	0.1323905511
100	0.1323297866
101	0.1322534789
102	0.1321435943
103	0.1321385534
104	0.1321370144
105	0.1321305125
106	0.13212633
107	0.1320599805
108	0.1319762748
109	0.1319736832
110	0.1318704476
111	0.1318609067
112	0.1318017067
113	0.1317978781
114	0.1317070147
115	0.1316819735
116	0.1316453652
117	0.1316422733
118	0.1315604933
119	0.1315275118
120	0.131523775
121	0.131492045
122	0.1314559123
123	0.1313710142
124	0.1313181926
125	0.1312737593
126	0.1312630015
127	0.1312545924
128	0.1312247563
129	0.1312049146
130	0.1311755519
131	0.1311297771
132	0.1310056272
133	0.1309430986
134	0.1309404995
135	0.1309166122
136	0.130913331
137	0.130891714
138	0.1308510713
139	0.1307697897
140	0.1306945326
141	0.1306869477
142	0.1306082391
143	0.1306049796
144	0.1305776184
145	0.1305428407
146	0.1305132843
147	0.1304584953
148	0.1304386537
149	0.1304369598
150	0.1304134201
151	0.1304036285
152	0.1303762186
153	0.1303020834
154	0.1302386895
155	0.1302105268
156	0.1301719666
157	0.1301274607
158	0.1300587791
159	0.1300491459
160	0.1300475449
161	0.1299949853
162	0.1299439924
163	0.12994233
164	0.1298726011
165	0.1298380855
166	0.1298090198
167	0.1298007353
168	0.1297609379
169	0.1297489226
170	0.1297362387
171	0.1297289112
172	0.1296474761
173	0.1296297641
174	0.1296238884
175	0.1295964231
176	0.1295917624
177	0.129559554
178	0.1295537139
179	0.1295409874
180	0.1295342692
181	0.1294840563
182	0.1294695354
183	0.1294293419
184	0.1293474239
185	0.1293206393
186	0.1292616263
187	0.1292386547
188	0.1291924554
189	0.1291424596
190	0.1290630413
191	0.129043701
192	0.1290106472
193	0.1289845007
194	0.1289740124
195	0.1289171402
196	0.1288887692
197	0.128849337
198	0.1287943577
199	0.1287665965
200	0.1287246936
201	0.1286934106
202	0.1286665282
203	0.1286464595
204	0.1285654968
205	0.1285335458
206	0.1284897027
207	0.1284152163
208	0.1283938073
209	0.1283577629
210	0.1283412888
211	0.1283192035
212	0.1283060342
213	0.1282795366
214	0.1282291979
215	0.1281760816
216	0.1281399456
217	0.1281211375
218	0.1280992119
219	0.1280750388
220	0.1280481047
221	0.1280120881
222	0.127993307
223	0.1279750609
224	0.1279039521
225	0.1279026279
226	0.1278492007
227	0.1278295273
228	0.1278089651
229	0.127780914
230	0.1277626271
231	0.1277436388
232	0.1277422417
233	0.1276903364
234	0.1276805448
235	0.1276778935
236	0.1276407016
237	0.1276395453
238	0.127612643
239	0.1275745575
240	0.1275415112
241	0.1274758937
242	0.1274204223
243	0.1273739607
244	0.1273610814
245	0.1273450407
246	0.1273149914
247	0.1272783392
248	0.1272578363
249	0.1272282343
250	0.1272130084
251	0.1271815816
252	0.1271804195
253	0.1271597117
254	0.1271514221
255	0.1271146578
256	0.1270558367
257	0.1270414797
258	0.12702501
259	0.1269909336
260	0.1269669384
261	0.1269070104
262	0.126870021
263	0.1268584325
264	0.1268274449
265	0.1268261459
266	0.1267955953
267	0.1267494059
268	0.1267191328
269	0.1267138446
270	0.1266693541
271	0.1266265443
272	0.1266047531
273	0.1265659543
274	0.1265649583
275	0.1264817697
276	0.1264568806
277	0.1264559208
278	0.1264373889
279	0.1264231327
280	0.1263892777
281	0.1263883913
282	0.1263768009
283	0.1263542171
284	0.1263411867
285	0.1263280312
286	0.1263166082
287	0.1262972567
288	0.1262826771
289	0.1262496498
290	0.1262060134
291	0.1262052381
292	0.1261768674
293	0.1261311377
294	0.1261229859
295	0.1260790524
296	0.1260515195
297	0.1260507565
298	0.1260257858
299	0.1260113122
300	0.1259802918
301	0.1259506434
302	0.1259245734
303	0.1258931147
304	0.1258922842
305	0.1258540442
306	0.1258370073
307	0.1257949815
308	0.1257812381
309	0.125739792
310	0.1257376889
311	0.1257259811
312	0.1257138801
313	0.1256779722
314	0.1256560414
315	0.125568679
316	0.125534877
317	0.1255130215
318	0.1255049346
319	0.1254907638
320	0.1254900846
321	0.1254436443
322	0.1254215163
323	0.1253903051
324	0.1253650516
325	0.1253535968
326	0.1253529209
327	0.1253262038
328	0.1252951422
329	0.125257914
330	0.1252435811
331	0.1251821976
332	0.125175925
333	0.1251483454
334	0.1251423999
335	0.1250994675
336	0.1250923791
337	0.1250871296
338	0.1250543012
339	0.1250431009
340	0.1250389227
341	0.1250128356
342	0.1249831989
343	0.1249387421
344	0.1248569055
345	0.1248159606
346	0.1247822541
347	0.1247691369
348	0.124741305
349	0.1246835148
350	0.1246692588
351	0.1246686134
352	0.1246614572
353	0.1246427134
354	0.1246025902
355	0.1245868802
356	0.124586266
357	0.124550742
358	0.1245473786
359	0.1245056531
360	0.1244925321
361	0.1244428113
362	0.1244095543
363	0.1243961635
364	0.1243442634
365	0.1243315011
366	0.1243021469
367	0.1242805396
368	0.1242350004
369	0.1241494899
370	0.124141186
371	0.124087349
372	0.1240601278
373	0.1240594261
374	0.1240540177
375	0.124027301
376	0.1240087219
377	0.1239834613
378	0.1239804647
379	0.1239798574
380	0.1239426006
381	0.1239349293
382	0.1238900497
383	0.1238689873
384	0.1238416659
385	0.1238224318
386	0.1237870251
387	0.1237234691
388	0.1237078992
389	0.1236340281
390	0.1236214328
391	0.1236184656
392	0.1236015686
393	0.1235773959
394	0.1235612041
395	0.1235565693
396	0.1235060355
397	0.1234816736
398	0.1234576789
399	0.123431379
400	0.1233937351
401	0.1233763777
402	0.1233624493
403	0.1233618156
404	0.1233440055
405	0.1233286959
406	0.1233282396
407	0.1233277922
408	0.1233118474
409	0.1232849353
410	0.1232324752
411	0.1231660478
412	0.1231286326
413	0.1230920204
414	0.1230850038
415	0.1230705936
416	0.1230164154
417	0.1229856777
418	0.122934912
419	0.1229166213
420	0.1228693173
421	0.1227867162
422	0.1227388762
423	0.1227201288
424	0.1226730829
425	0.1226500272
426	0.1225975267
427	0.1225860256
428	0.1225846252
429	0.1225578657
430	0.1225331509
431	0.1224822441
432	0.1224086502
433	0.1223928555
434	0.1223719898
435	0.1223545112
436	0.1223539892
437	0.122314475
438	0.1223139627
439	0.1222911958
440	0.1222406262
441	0.1221936799
442	0.1221921366
443	0.1221413254
444	0.1221404241
445	0.1221399352
446	0.122123526
447	0.1220945249
448	0.1220940897
449	0.1220781367
450	0.1220550273
451	0.1220268735
452	0.1219914812
453	0.1219635281
454	0.1219350955
455	0.1219095072
456	0.121865733
457	0.1218172686
458	0.1217856685
459	0.121772946
460	0.1217428278
461	0.1217327329
462	0.1216919036
463	0.1216383036
464	0.121560929
465	0.1215261598
466	0.1214991687
467	0.1214690362
468	0.1213974372
469	0.1213956969
470	0.121343489
471	0.1213344668
472	0.1213191685
473	0.1212786655
474	0.1212736854
475	0.1212358005
476	0.1212159874
477	0.1211827431
478	0.1211680603
479	0.1211585913
480	0.1211345167
481	0.121104092
482	0.1210703453
483	0.1210553626
484	0.1210351582
485	0.1210252564
486	0.1209945607
487	0.1209482872
488	0.1209393604
489	0.1209233053
490	0.1209072823
491	0.1208937901
492	0.1208570792
493	0.1207959769
494	0.1207913792
495	0.1207652706
496	0.1207412401
497	0.1207228611
498	0.1207049403
499	0.1206671308
500	0.1206627403
501	0.1206535892
502	0.1206294082
503	0.1206016713
504	0.1205608362
505	0.1205255133
506	0.1205182056
507	0.1204802104
508	0.1204439928
509	0.1203873987
510	0.120347528
511	0.120309608
512	0.1202730227
513	0.1202393579
514	0.1202271291
515	0.1202166209
516	0.1201929883
517	0.1201856742
518	0.120142064
519	0.1200690018
520	0.1200545679
521	0.1199852872
522	0.1199732854
523	0.1199222605
524	0.1199175614
525	0.1199096225
526	0.1199038973
527	0.119880577
528	0.119871471
529	0.119865584
530	0.119864273
531	0.1198293397
532	0.1198169025
533	0.1198100564
534	0.1197926194
535	0.1197920252
536	0.1197867705
537	0.1197604132
538	0.119760187
539	0.1197550726
540	0.1197483686
541	0.1197315775
542	0.1197164279
543	0.1197152645
544	0.1197043547
545	0.1196985888
546	0.1196801075
547	0.1196677444
548	0.1196323343
549	0.1196060942
550	0.1195885449
551	0.1195806527
552	0.1195563361
553	0.1195358759
554	0.1194991444
555	0.1194772279
556	0.1194702474
557	0.1194480175
558	0.1194330272
559	0.1194224821
560	0.1194150983
561	0.1193687396
562	0.1193614801
563	0.1193169175
564	0.1193163676
565	0.1192840663
566	0.1192609974
567	0.1192550453
568	0.1192449672
569	0.1192208124
570	0.1192109285
571	0.1191725841
572	0.1191271444
573	0.1190990207
574	0.1190758429
575	0.1190594104
576	0.1190312572
577	0.1190244295
578	0.1190152175
579	0.1189731395
580	0.1189279265
581	0.1188867936
582	0.118868135
583	0.1188678601
584	0.1188608544
585	0.1188603769
586	0.1188267696
587	0.1188088119
588	0.1188017719
589	0.1187932774
590	0.1187838847
591	0.1187405392
592	0.1187045495
593	0.1186977715
594	0.1186895712
595	0.1186295823
596	0.1186120093
597	0.1186093793
598	0.1185243925
599	0.1184975142
600	0.1184806595
601	0.118453229
602	0.1184254476
603	0.1184181989
604	0.11835781
605	0.1183466753
606	0.1183385423
607	0.1183313314
608	0.1183206936
609	0.1183037687
610	0.1182603089
611	0.1182504549
612	0.1182369267
613	0.1182305385
614	0.1182238409
615	0.1181982863
616	0.1181838104
617	0.1181541181
618	0.1181369546
619	0.1180933734
620	0.1180454076
621	0.1180036687
622	0.1179834644
623	0.1179696015
624	0.1179418057
625	0.1179413494
626	0.1179043578
627	0.1178999919
628	0.117896068
629	0.1178770066
630	0.1178614409
631	0.1178567933
632	0.1178134207
633	0.1177854502
634	0.11774555
635	0.117710835
636	0.117705381
637	0.1176862606
638	0.1176657235
639	0.1176652398
640	0.1176537898
641	0.1176444762
642	0.117606229
643	0.1176001122
644	0.1175784147
645	0.1175698129
646	0.1175448532
647	0.1175374069
648	0.1175229373
649	0.1175176832
650	0.1174923835
651	0.1174800254
652	0.1174534458
653	0.1174531792
654	0.1174498978
655	0.1174430947
656	0.1174338009
657	0.1174279852
658	0.11739158
659	0.1173486516
660	0.1173286744
661	0.1172833839
662	0.1172655972
663	0.1172323338
664	0.1172154428
665	0.1172039412
666	0.1171873179
667	0.1171836571
668	0.1171640423
669	0.1171546871
670	0.1171421229
671	0.117117377
672	0.1171119253
673	0.117107415
674	0.117107112
675	0.1170849949
676	0.1170752906
677	0.117069012
678	0.117048394
679	0.1170170886
680	0.1170046882
681	0.1169902257
682	0.1169602085
683	0.1169407815
684	0.116931234
685	0.1169191164
686	0.1168938733
687	0.116858301
688	0.1168469771
689	0.1168330004
690	0.1168221452
691	0.1168105935
692	0.1167969943
693	0.1167931544
694	0.1167679034
695	0.1167545346
696	0.1167412672
697	0.1167360646
698	0.11672058
699	0.1166978787
700	0.1166854212
701	0.1166766228
702	0.1166393306
703	0.1166217942
704	0.1166143788
705	0.1166069491
706	0.1165861865
707	0.1165739736
708	0.1165652246
709	0.1165649625
710	0.1165549329
711	0.1165490243
712	0.1165374435
713	0.1165112364
714	0.1165082005
715	0.1165030954
716	0.1164926697
717	0.1164755836
718	0.1164637503
719	0.1164349363
720	0.1164266076
721	0.1164219128
722	0.1163997548
723	0.1163512264
724	0.1163449585
725	0.1163194292
726	0.116319125
727	0.1162774862
728	0.1162175922
729	0.1162135713
730	0.1162054035
731	0.1161957993
732	0.1161888689
733	0.1161808636
734	0.1161658119
735	0.1161574228
736	0.1161501357
737	0.1161406373
738	0.116132891
739	0.1161135863
740	0.116084532
741	0.1160731023
742	0.1160535602
743	0.1160290691
744	0.1159899292
745	0.1159765611
746	0.1159467349
747	0.1158997283
748	0.1158918929
749	0.1158589303
750	0.1158546869
751	0.115851831
752	0.1158166659
753	0.1158044783
754	0.1157970989
755	0.115780245
756	0.1157715424
757	0.1157554702
758	0.1157442013
759	0.1157413631
760	0.1157196622
761	0.1157140643
762	0.1157115315
763	0.1157044036
764	0.1156999438
765	0.1156964757
766	0.1156783009
767	0.1156504129
768	0.1156433484
769	0.115620004
770	0.1155941529
771	0.1155482828
772	0.1155479905
773	0.1155168162
774	0.1154948839
775	0.1154946606
776	0.1154889439
777	0.1154700498
778	0.1154599365
779	0.1154491997
780	0.1153895944
781	0.1153768172
782	0.1153496578
783	0.1152884771
784	0.1152632333
785	0.1152568949
786	0.1152333072
787	0.1152184907
788	0.11519977
789	0.1151887566
790	0.1151842712
791	0.1151574941
792	0.115150814
793	0.1151288545
794	0.1151180049
795	0.1151140632
796	0.1151063886
797	0.1151009115
798	0.1150925705
799	0.115068174
800	0.1150565118
801	0.1150364967
802	0.1150329996
803	0.1150262787
804	0.115025893
805	0.1149738507
806	0.1149650317
807	0.1149566646
808	0.1149236008
809	0.1149233547
810	0.1149088346
811	0.1149047495
812	0.1148827902
813	0.1148769437
814	0.1148503896
815	0.1148291668
816	0.1148173835
817	0.1148130683
818	0.1148128107
819	0.1148124149
820	0.1148042303
821	0.11479836
822	0.1147686384
823	0.1147610788
824	0.1147456673
825	0.1147316509
826	0.1147258769
827	0.1147085
828	0.1146889747
829	0.1146855717
830	0.1146800041
831	0.1146797079
832	0.1146688882
833	0.1146584571
834	0.1146434059
835	0.1146365784
836	0.1146363637
837	0.1146330067
838	0.1146229539
839	0.1145971147
840	0.1145930327
841	0.1145928836
842	0.114585999
843	0.1145857916
844	0.1145352017
845	0.1145282162
846	0.1145080606
847	0.1144992663
848	0.1144595133
849	0.1144591684
850	0.1144485838
851	0.1144264207
852	0.1144049122
853	0.1143860158
854	0.1143313372
855	0.1143105263
856	0.114301123
857	0.1142988849
858	0.1142929673
859	0.1142710066
860	0.1142556684
861	0.1142522107
862	0.1142402142
863	0.1142278682
864	0.1142221145
865	0.1142165073
866	0.1141864732
867	0.1141807533
868	0.1141781235
869	0.1141668063
870	0.1141607405
871	0.1141371405
872	0.1141217427
873	0.114112211
874	0.1140851443
875	0.1140485778
876	0.1140430467
877	0.1140386881
878	0.1140199496
879	0.1140115723
880	0.1140077725
881	0.1139901884
882	0.1139899681
883	0.1139366846
884	0.1139085199
885	0.1138834125
886	0.1138811014
887	0.1138734979
888	0.1138454244
889	0.1138311189
890	0.1137923661
891	0.1137711882
892	0.1137390011
893	0.1137152294
894	0.1137086922
895	0.1136796026
896	0.1136752824
897	0.1136483333
898	0.1136039547
899	0.1135714094
900	0.113554492
901	0.1135541814
902	0.113545248
903	0.1135216932
904	0.1134743357
905	0.1134448814
906	0.1134037303
907	0.113397605
908	0.1133439202
909	0.1133092652
910	0.1132943689
911	0.113273607
912	0.1132665777
913	0.1132429269
914	0.113225125
915	0.1132143399
916	0.1132079394
917	0.1131925133
918	0.1131849962
919	0.1131771195
920	0.113176855
921	0.1131725834
922	0.1131528159
923	0.1131507626
924	0.1131447849
925	0.1131370956
926	0.1131202561
927	0.1131150416
928	0.1131115854
929	0.1131047151
930	0.1130988895
931	0.1130672902
932	0.1130603444
933	0.1130373309
934	0.1129979444
935	0.1129796401
936	0.1129729977
937	0.1129673032
938	0.1129380252
939	0.1129315464
940	0.112925112
941	0.1129211057
942	0.1129016977
943	0.1128898288
944	0.1128730357
945	0.1128633303
946	0.1128299058
947	0.1128236592
948	0.1128156731
949	0.1127825175
950	0.1127581012
951	0.1127096119
952	0.1126838501
953	0.1126796464
954	0.1126794104
955	0.1126687945
956	0.1126484708
957	0.1126235285
958	0.1125828517
959	0.1125794307
960	0.112558592
961	0.1125537656
962	0.1125039189
963	0.1124682763
964	0.1124680294
965	0.1124642439
966	0.1124579091
967	0.1124531797
968	0.1124397334
969	0.1124279567
970	0.1124092677
971	0.1123925722
972	0.1123825981
973	0.1123823415
974	0.1123820232
975	0.1123793723
976	0.1123745062
977	0.1123695998
978	0.1123414111
979	0.1123372837
980	0.1123264047
981	0.1123092443
982	0.1122960953
983	0.1122915022
984	0.1122879941
985	0.1122833549
986	0.1122606695
987	0.1122539667
988	0.1122401379
989	0.1122208449
990	0.1122154695
991	0.1121968
992	0.1121966066
993	0.1121710721
994	0.1121112532
